"name","price"
"Встраиваемый холодильник без морозильника DEXP BIS2-0140AHE [138 л, дисплей, 59.5 см x 81.8 см x 54.5 см]","24 999  ₽"
"Встраиваемый холодильник без морозильника LEX RBI 102 DF [138 л, дисплей, 59.5 см x 81.8 см x 54.5 см]","29 299  ₽"
"Встраиваемый холодильник DEXP BIB220AMA [269 л, нижняя морозильная камера, разморозка - ручное, 54 см x 178.5 см x 54.5 см]","29 999  ₽"
"Встраиваемый холодильник DEXP Fresh BIB420AMA [241 л, нижняя морозильная камера, разморозка - No Frost, дисплей, 54 см x 178.5 см x 54.5 см]","31 299  ₽"
"Встраиваемый холодильник без морозильника KRONA GORNER KRMFR101 [133 л, 59.5 см x 81.2 см x 54.8 см]","33 299  ₽"
"Встраиваемый холодильник без морозильника Bosch Serie 6 KUR15A50RU [138 л, 59.8 см x 81.8 см x 54.8 см]","39 299  ₽"
"Встраиваемый холодильник DEXP BIB4-0250AHE [240 л, нижняя морозильная камера, разморозка - No Frost, дисплей, 54 см x 177.2 см x 54 см]","39 499  ₽"
"Встраиваемый холодильник без морозильника Schaub Lorenz SLS E136W0M [133 л, 59.5 см x 81.9 см x 54.8 см]","41 499  ₽"
"Встраиваемый холодильник Midea MDRE379FGF01 [269 л, нижняя морозильная камера, разморозка - ручное, 54 см x 177 см x 54.5 см]","42 299  ₽"
"Встраиваемый холодильник без морозильника Beko BU1100HCA [128 л, 59.8 см x 82 см x 54.5 см]","42 999  ₽"
"Встраиваемый холодильник без морозильника MAUNFELD MBL88SW [135 л, 59.6 см x 82 см x 55 см]","43 999  ₽"
"Встраиваемый холодильник Scandilux CSBI249M [242 л, нижняя морозильная камера, разморозка - ручное, 54 см x 177 см x 54.5 см]","46 799  ₽"
"Встраиваемый холодильник без морозильника Kuppersberg VBMR 134 [133 л, 59.5 см x 81.8 см x 54.5 см]","47 499  ₽"
"Встраиваемый холодильник Haier HUR100RU [100 л, верхняя морозильная камера, разморозка - ручное, 59.5 см x 82 см x 54.5 см]","47 999  ₽"
"Встраиваемый холодильник без морозильника Haier HUL110RU [110 л, 59.5 см x 82 см x 54.5 см]","47 999  ₽"
"Встраиваемый холодильник Hansa BK318.3FVC [241 л, нижняя морозильная камера, разморозка - No Frost, дисплей, 54 см x 176.9 см x 55 см]","48 999  ₽"
"Встраиваемый холодильник Gorenje NRKI4182P1 [240 л, нижняя морозильная камера, разморозка - No Frost, 54 см x 177.2 см x 54 см]","54 999  ₽"
"Встраиваемый холодильник Hansa BK2815.0N [281 л, нижняя морозильная камера, разморозка - No Frost, 54 см x 194 см x 54 см]","57 499  ₽"